doc_index,entity_group,entity_text
27,ORG,X
27,MISC,f
27,ORG,inity
27,LOC,NYC
27,ORG,Time Warner
27,ORG,X
27,MISC,f
27,ORG,inity
27,ORG,Comcast
28,ORG,CrapCast
28,ORG,ConCast
28,ORG,XFINITY
29,ORG,Comcast
29,ORG,Xfinity
29,ORG,Comcast
29,ORG,Comcast
30,ORG,Comcast
30,LOC,Podunk
31,ORG,Comcast
32,MISC,Smart TV
32,ORG,Xfinity
33,ORG,Comcast
33,ORG,Comcast
33,ORG,Comcast
33,ORG,Comcast
34,ORG,Comcast
34,ORG,Comcast
34,ORG,AT&T
34,ORG,Comcast
37,ORG,Comcast
37,MISC,WiFi
37,MISC,WiFi
37,ORG,Comcast
37,ORG,Comcast
38,ORG,Xfinity
39,LOC,Treasure Coast FL
39,ORG,Corp
40,MISC,Game Day
40,LOC,Knoxville
40,LOC,Tn
40,ORG,VOLS
40,LOC,.
40,ORG,Infinity
40,LOC,.
40,ORG,Comcast/Infinity
40,ORG,KUB
40,LOC,.
40,LOC,.
40,LOC,.
40,ORG,Infinity
41,ORG,Comcast
41,ORG,Comcast
41,ORG,Comcast
41,MISC,F
41,MISC,-
41,ORG,Comcast
41,ORG,AT&T
41,ORG,Verizon
41,ORG,Comcast
41,ORG,Comcast
42,ORG,xfinity comcast
42,MISC,arris SB6183
42,MISC,arris
42,ORG,COMCAST
44,ORG,comcast
44,ORG,Comcast
45,ORG,Comcast
45,MISC,Internet
45,LOC,India
45,ORG,Comcast
46,ORG,Comcast/Xfinity
46,ORG,Comcast/Xfinity
47,ORG,Comcast
47,ORG,Comcast
48,ORG,Comcast
48,MISC,Internet
48,MISC,Internet
48,MISC,Internet
48,MISC,Internet
48,PER,Wanda
48,PER,Wanda
48,LOC,Philippines
48,ORG,Comcast
49,ORG,Comcast
49,ORG,Business Internet
50,MISC,XFINITY X1 SYSTEM
51,LOC,Chattanooga
51,LOC,Atlanta
51,ORG,Xfinity/Comcast
51,ORG,Chattanoogas EPB
51,ORG,ATT
51,ORG,UVerse
51,ORG,Xfinity/Comcast
51,ORG,Comcast
51,ORG,EPB
51,ORG,EPB
51,ORG,Comcast
51,ORG,Comcast
51,ORG,Comcast
51,MISC,EST
52,ORG,Xfinity/Comcast
52,ORG,60 Minutes
52,MISC,Olympics
52,ORG,Xfinity
52,PER,Ryan
52,ORG,Xfinity
52,ORG,BBB
53,ORG,Xfinity
53,ORG,Comcast
53,ORG,Xfinity
53,ORG,Comcast
53,ORG,Xfinity
53,MISC,anti-Trump
53,MISC,-Republican
54,ORG,Comcast
55,ORG,Comcast
55,ORG,AT&T
55,ORG,Comcast
55,ORG,Comcast
55,MISC,Internet
55,ORG,Xfinity
55,MISC,Motorola Surfboard SB 6121
55,MISC,DOCSIS 2.0
55,ORG,Comcast
55,MISC,Internet
55,ORG,Comcast
55,ORG,Comcast
55,ORG,Comcast
55,ORG,AT&T
56,MISC,Italian
56,MISC,english
56,MISC,english
56,MISC,english
57,ORG,Comcast
57,LOC,US
57,ORG,Comcast
58,ORG,Comcast
58,MISC,Internet
58,ORG,Comcast
58,ORG,Comcast
58,PER,Usain Bolt
59,ORG,Comcast
59,ORG,Comcast
59,ORG,Comcast
59,ORG,Comcast
59,ORG,end
60,LOC,SWFL
60,ORG,Amazon
60,ORG,Netflix
60,ORG,Hulu
61,ORG,Comcast
62,ORG,Comcast
62,ORG,Comcast
62,ORG,Comcast
63,ORG,Comcast
63,LOC,Alabama
64,ORG,Comcast
64,ORG,Frontier
65,ORG,Comcast
65,ORG,Comcast
65,ORG,Comcast
66,ORG,TWC
66,ORG,FIOS
66,ORG,COMCAST
67,ORG,Xfinity
67,ORG,Comcast
67,ORG,better business bureau
70,ORG,Comcast
70,MISC,Internet
70,ORG,Comcast
70,ORG,Comcast
71,ORG,Comcast
71,PER,Sally
71,ORG,Lickity Split
71,ORG,Comcast
72,ORG,Xfinity
72,ORG,Xfinity Comcast
73,ORG,Comcast
73,MISC,USB
73,MISC,English
73,MISC,English
73,ORG,Advanced Network Tech
73,MISC,USB
73,ORG,Comcast
73,MISC,English
73,LOC,US
73,ORG,Google Fiber
74,ORG,Comcast
74,ORG,Comcast
74,ORG,Comcast
75,ORG,Skype
75,ORG,Comcast
75,ORG,Comcast
75,ORG,Comcast
75,ORG,Comcast
75,LOC,Leominster MA
75,LOC,NH
75,ORG,Comcast
75,LOC,MA
75,ORG,Comcast
75,ORG,Comcast
75,ORG,Comcast
75,ORG,Comcast
76,ORG,Comcast
76,LOC,America
76,ORG,FIOS
76,ORG,Comcast
77,LOC,Alaska
77,ORG,Comcast
77,LOC,NY
77,ORG,Holland America
77,ORG,Comcast
77,ORG,.
77,ORG,Comcast
78,ORG,Comcast
78,ORG,Comcast
79,ORG,Comcast
79,ORG,1800comcast
81,ORG,Comcast
81,MISC,Spanish
81,MISC,English
81,ORG,Comcast
81,ORG,Comcast
81,MISC,X-1
81,MISC,X-1
81,PER,God
81,ORG,Comcast
82,LOC,India
83,MISC,DSL
83,MISC,Wireless Internet
83,MISC,Ethernet
84,ORG,xfinity
84,ORG,Xfinity
84,MISC,EPB
84,MISC,EPB
85,ORG,Comcast
85,MISC,Internet
85,LOC,Illinois
85,LOC,Mississippi
85,ORG,Comcast
85,ORG,811
85,ORG,Comcast
85,ORG,811
85,ORG,Comcast
86,MISC,XFinity Home
86,ORG,Xfinity
87,ORG,Xfinity
87,ORG,Comcast
88,ORG,Comcast
88,LOC,Massachusetts
88,ORG,Comcast
88,ORG,Comcast
88,ORG,Verizon
88,MISC,F
88,ORG,ios
88,ORG,Verizon
88,LOC,MD
88,ORG,Comcast
89,PER,Derik **
89,ORG,Comcast
89,ORG,Comcast
90,ORG,Comcast
90,ORG,Comcast
90,PER,Robert
90,PER,Robert
90,ORG,COMCAST
90,PER,Robert
90,ORG,Comcast
91,ORG,COMCAST/ Xfinity
91,ORG,.
91,ORG,Xfinity
91,ORG,Xfinity
91,ORG,Xfinity
91,ORG,Xfinity
92,ORG,Comcast
92,ORG,Comcast
92,ORG,Comcast
92,ORG,Netflix
92,ORG,Comcast
92,ORG,Comcast
92,ORG,Comcast
93,ORG,Comcast
93,ORG,Comcast
93,MISC,English
93,ORG,Comcast
93,LOC,Lynchburg VA
93,ORG,Comcast
93,ORG,Comcast
94,MISC,X1
94,MISC,X1
94,ORG,COMCAST
94,LOC,China
94,LOC,US
94,ORG,Comcast
96,ORG,Comcast
96,ORG,Comcast
98,ORG,Comcast
98,ORG,Comcast
98,ORG,Comcast
98,ORG,Comcast
98,ORG,Comcast
99,MISC,On Demand
100,MISC,Xfinity-only
100,ORG,Comcast
101,ORG,Comcast
101,MISC,Xbox one
101,MISC,DMZ
101,ORG,FCC
101,ORG,Comcast
101,ORG,Comcast
101,ORG,Verizon DSL
101,ORG,Arris
101,ORG,Comcast
102,ORG,Comcast
102,ORG,Comcast
102,ORG,Comcast
102,ORG,Comcast
103,ORG,Xfinity
104,ORG,AT&T
104,ORG,Comcast
104,ORG,Comcast
105,ORG,Comcast
105,ORG,Comcast
105,MISC,Apple TV
105,PER,Man
106,ORG,Comcast
106,ORG,Verizon
107,ORG,Comcast/Xfinity
107,ORG,Netflix
107,ORG,CS
107,MISC,Cable-Internet
107,LOC,Albuquerque
108,ORG,Comcast
108,ORG,Comcast
108,ORG,Comcast
108,ORG,Comcast
109,ORG,Comcast
109,MISC,Internet
109,MISC,WiFi
109,MISC,WiFi
109,ORG,Verizon
109,MISC,WiFi
110,ORG,Comcast
110,ORG,Comcast
110,ORG,Comcast
110,ORG,Comcast
110,PER,Clark
111,MISC,Turkish
111,ORG,Comcast
111,ORG,Comcast
112,ORG,Verizon
112,ORG,Verizon
112,ORG,Comcast
115,ORG,FIOS
117,ORG,Comcast
117,MISC,English
118,ORG,Xfinity
118,LOC,Philippines
118,LOC,America
119,MISC,Xfinity Wi-Fi
119,MISC,Wi-Fi
120,ORG,Xfinity
121,ORG,Comcast
121,ORG,Comcast
121,MISC,Internet
121,MISC,-
122,ORG,Comcast
122,ORG,Comcast
123,ORG,Comcast
124,ORG,Comcast/Xfinity
124,MISC,X1
124,ORG,Comcast
124,MISC,X1
125,ORG,Comcast
125,MISC,Tylenol
125,MISC,English
125,ORG,Comcast
126,PER,Victor
127,ORG,Comcast
127,ORG,Comcast
127,ORG,AT&T
127,ORG,Comcast
127,ORG,Comcast
127,ORG,Comcast
127,ORG,Comcast
128,ORG,Comcast
128,ORG,XFINITY
128,MISC,IPAD
128,ORG,Comcast
129,ORG,Xfinity
129,ORG,Xfinity
130,ORG,Comcast
130,ORG,Comcast
131,ORG,Better Business Bureau
131,ORG,BBB
133,ORG,Comcast
133,ORG,Comcast
133,ORG,Comcast
134,ORG,Comcast/Xfinity
135,ORG,Comcast
135,ORG,Comcast
136,ORG,BBB
136,ORG,Comcast
137,ORG,Comcast
139,ORG,Comcast
139,ORG,Comcast
139,ORG,Comcast
139,LOC,Connecticut
139,ORG,CS
139,ORG,T-Mobile
139,ORG,JDP
140,MISC,Internet
140,MISC,Internet
140,ORG,Comcast
140,LOC,Rockford IL
143,ORG,Comcast
144,ORG,Xfinity
144,ORG,Xfinity
144,ORG,AT&T
144,ORG,Xfinity
144,ORG,Xfinity
144,ORG,AT&T
144,ORG,AT&T
144,ORG,Xfinity
145,ORG,Comcast/Xfinity
145,ORG,Comcast
145,ORG,Comcast
145,ORG,Comcast
145,ORG,Comcast
145,ORG,Comcast
145,ORG,Comcast/Xfinity
146,ORG,Comcast
147,ORG,Comcast
147,MISC,NBA
147,ORG,TBS
147,ORG,ESPN
147,ORG,Sling TV
147,ORG,Comcast Sports Network.
147,ORG,.
148,ORG,Comcast
149,MISC,Blast Internet
149,ORG,XFINITY
149,ORG,XFINITY
150,LOC,Tennessee
150,ORG,Comcast Customer Support
150,ORG,Comcast
150,ORG,Comcast
150,LOC,Knoxville
150,ORG,Comcast
150,MISC,Internet
150,MISC,Internet
150,ORG,Comcast
150,ORG,Netflix
150,ORG,Amazon
150,MISC,PS4
150,MISC,PS4
150,ORG,Netflix
150,MISC,Internet
150,ORG,Comcast
150,ORG,Comcast
150,LOC,Knoxville
150,ORG,WoW
150,ORG,Comcast
150,ORG,Comcast
151,ORG,Comcast
151,ORG,Comcast
151,ORG,Comcast
151,ORG,Comcast
151,ORG,Comcast
152,ORG,Comcast
152,ORG,Comcast
152,ORG,Comcast
152,LOC,Columbia
152,PER,Jason
152,ORG,Comcast
152,LOC,Mexico
152,LOC,United States
152,LOC,Michigan
152,MISC,English
152,ORG,.
152,ORG,Xfinity
153,ORG,Comcast
153,MISC,X
153,ORG,1
154,ORG,Comcast
154,ORG,X
154,MISC,f
154,ORG,inity
155,ORG,Comcast
155,LOC,Savannah
155,ORG,Comcast
156,ORG,Comcast
156,ORG,Comcast
156,MISC,-
156,ORG,Comcast
157,MISC,WIFI
157,MISC,iPad
157,ORG,Comcast
157,ORG,Comcast
157,ORG,Comcast
157,MISC,Internet
157,ORG,Comcast
157,MISC,Internet
158,ORG,Comcast
159,MISC,Internet
159,ORG,Cox
159,ORG,Metrocast
159,ORG,Frontier
159,MISC,Internet
159,ORG,Skype
159,ORG,Skype
159,ORG,Comcast
159,MISC,Internet
160,ORG,C.S.
160,ORG,.
160,ORG,.
161,ORG,xfinity Internet
162,MISC,Internet
162,ORG,Comcast
162,MISC,Internet
162,ORG,Comcast
162,MISC,Internet
162,ORG,Comcast
163,ORG,Comcast
164,MISC,Internet
165,ORG,Comcast
165,ORG,Dish
165,ORG,COMCAST/XFINITY
166,LOC,New York
166,ORG,DIRECTV
166,ORG,AT&T
166,ORG,Comcast
166,ORG,Comcast
166,ORG,AT&T
166,PER,Trump
166,PER,Hillary
166,ORG,Comcast
167,ORG,Netflix
168,ORG,Verizon MIFI
168,ORG,COMCAST XFINITY
168,ORG,COMCAST XFINITY
168,ORG,COMCAST XFINITY
168,ORG,COMCAST XFINITY
168,ORG,COMCAST XFINITY
168,ORG,COMCAST XFINITY
168,ORG,COMCAST XFINITY
169,ORG,Comcast
169,ORG,Comcast
170,ORG,Comcast
171,ORG,Comcast
171,ORG,AT&T Internet
171,ORG,Netflix
171,ORG,Direct
171,ORG,Comcast
171,ORG,Direct
171,ORG,AT&T
171,ORG,Directv
171,ORG,Direct
171,ORG,Direct
171,PER,John
171,ORG,COMCAST/INFINITY
171,ORG,COMCAST
174,ORG,Comcast
174,ORG,Comcast
174,ORG,Comcast
174,ORG,Comcast
175,ORG,Comcast
175,ORG,Comcast
176,ORG,Comcast
176,ORG,Comcast TV
177,ORG,Comcast
178,ORG,Comcast
178,ORG,Google
178,MISC,Fiber
178,ORG,Comcast
178,ORG,Comcast
178,ORG,Charter
178,ORG,Comcast Internet
179,ORG,Verizon
179,ORG,Verizon
179,ORG,Comcast
180,ORG,Comcast
180,ORG,Netflix
182,PER,Jennifer
182,PER,Eve
182,PER,Eve
182,ORG,Xfinity
183,ORG,Comcast
183,ORG,Comcast
184,ORG,Comcast
184,ORG,Comcast
185,ORG,Xfinity
185,ORG,xfinity chat
185,ORG,xfinity
185,ORG,xfinity
186,MISC,English
186,LOC,United States
186,ORG,Frontier
187,ORG,Fios
187,PER,God
187,ORG,Comcast
187,ORG,Comcast
188,ORG,Comcast
188,ORG,Comcast
188,ORG,Netflix
188,ORG,Amazon
189,ORG,Comcast/Xfinity
189,ORG,Netflix
189,ORG,Amazon on Demand
189,MISC,Wi-Fi
189,ORG,Comcast/Xfinity
189,ORG,AT&T
189,ORG,Comcast/Xfinity
189,ORG,Comcast/Xfinity
189,ORG,Comcast/Xfinity
189,ORG,Comcast/Xfinity
189,ORG,Comcast/Xfinity
189,ORG,US Congress
189,ORG,Comcast/Xfinity
189,ORG,Comcast/Xfinity
189,ORG,Comcast/Xfinity
190,ORG,Comcast
190,MISC,Pioneer
190,MISC,HDMI
190,ORG,Comcast
190,ORG,Comcast
192,MISC,Blast+
192,ORG,Xfinity
192,ORG,Comcast
193,ORG,Comcast
194,ORG,Comcast/XFINITY
195,ORG,Comcast
195,ORG,Xfinity
195,MISC,Internet
195,MISC,Internet
195,ORG,Comcast
195,ORG,Xfinity
195,ORG,Comcast
195,ORG,Xfinity
195,MISC,Internet
195,ORG,Comcast
195,ORG,Comcast
195,ORG,Comcast
195,ORG,Xfinity
195,ORG,Comcast
197,ORG,Comcast
197,ORG,Verizon
197,ORG,Comcast
197,ORG,Comcast
198,ORG,Comcast
198,LOC,Wall Street
198,ORG,Comcast
198,ORG,WOW
199,ORG,Xfinity
199,ORG,AT&T
199,ORG,AT&T
199,ORG,AT&T
199,ORG,YouTube
199,ORG,Xfinity
199,ORG,Xfinity
199,ORG,AT&T
199,ORG,Xfinity
200,ORG,AT&T Uverse
200,ORG,Comcast
200,ORG,Comcast
200,ORG,AT&T
200,ORG,Comcast
200,ORG,Comcast
201,ORG,Xfinity
201,MISC,Internet
201,MISC,Internet
201,ORG,Comcast Xfinity
202,ORG,XFINITY
202,LOC,Boston
202,ORG,Wi-Fi
204,PER,Ken
204,ORG,Spike Channel
205,ORG,Comcast
205,MISC,English
206,ORG,Comcast
207,ORG,Comcast
207,ORG,Comcast
207,MISC,XFINITY WiFi
207,ORG,Comcast
208,PER,Avery
208,ORG,Comcast
209,MISC,Internet
209,ORG,Comcast
209,MISC,Internet
209,ORG,Comcast
210,ORG,Comcast
210,MISC,Wi
210,MISC,Fi
210,ORG,Comcast
210,ORG,Comcast
210,ORG,Comcast
211,MISC,Xbox One
211,MISC,GTA 5
211,MISC,AI
211,MISC,MC
211,MISC,GTA 5
211,ORG,Xfinity
211,MISC,GTA 5
211,MISC,MC
212,ORG,AT&T
212,MISC,AT
212,ORG,&T
212,MISC,U-verse
212,ORG,Comcast
212,ORG,Amazon Prime
212,ORG,Hulu
212,ORG,Netflix
212,ORG,Comcast
213,ORG,Xfinity Community
214,ORG,Comcast
214,ORG,Comcast
214,ORG,Comcast
214,LOC,India
214,MISC,English
214,ORG,Comcast
215,ORG,Comcast
216,ORG,Comcast
216,ORG,CenturyLink
216,ORG,UPS
216,ORG,CenturyLink
217,ORG,Comcast
218,ORG,Comcast
218,MISC,Internet
218,ORG,Comcast
218,MISC,Internet
218,MISC,ps4
218,MISC,Internet
218,ORG,AT&T
219,ORG,Comcast
220,ORG,Comcast
220,ORG,Comcast
221,ORG,Comcast
221,ORG,Comcast
222,ORG,Comcast
224,ORG,Comcast
224,ORG,Comcast
224,ORG,Comcast
224,PER,computer sally
224,ORG,Comcast
225,ORG,Comcast
225,MISC,X1
225,ORG,Comcast
225,ORG,Comcast
225,ORG,Comcast
225,MISC,X1
225,ORG,Comcast
226,ORG,Comcast
226,MISC,Xfinity On
227,MISC,TV
227,MISC,X1
227,LOC,Mars
228,ORG,Comcast
229,LOC,Jupiter FL
229,MISC,Disabled
229,ORG,Homeowners Association
229,ORG,HOA
229,LOC,Delray Beach
229,LOC,Deerfield Beach
229,ORG,HOA
229,ORG,HOA
229,ORG,XFinity
231,ORG,Comcast
232,PER,Brittany
232,ORG,comcast/xfinity
232,ORG,xfinity
232,ORG,Comcast/Xfinity
232,PER,Brittany/Britney
232,LOC,MN
233,LOC,Philippines
233,MISC,English
233,ORG,AOL
234,ORG,Comcast/Xfinity
234,ORG,Billing
234,ORG,Consumer Affairs
234,ORG,Comcast
234,ORG,Comcast
235,ORG,ATT
235,ORG,Comcast
235,ORG,BestBuy
235,ORG,Comcast
235,ORG,Comcast
235,ORG,Comcast
237,ORG,Comcast
238,ORG,Comcast
238,LOC,Wilmington
238,LOC,Delaware
238,LOC,Concord
238,LOC,California
238,LOC,California
238,ORG,Comcast
238,ORG,Comcast
238,ORG,Comcast
238,ORG,Comcast
239,MISC,usd
239,LOC,seattle
239,LOC,WA
239,ORG,net
239,MISC,flix
239,MISC,TV
239,ORG,Comcast
239,ORG,Comcast
240,ORG,Xfinity
240,ORG,Hulu+
240,ORG,Netflix
240,LOC,California
240,ORG,AT&T UVerse.
241,ORG,Comcast
241,ORG,Comcast
241,ORG,Comcast
241,LOC,Dallas
241,ORG,Comcast
241,ORG,Comcast
242,ORG,Comcast
242,ORG,Comcast
242,ORG,Comcast
242,ORG,Comcast
242,ORG,Comcast
242,ORG,Comcast
242,MISC,cst
242,ORG,Comcast
242,ORG,Comcast
243,ORG,Netflix
244,ORG,comcast
244,ORG,Xfinity/Comcast
244,ORG,xfinity/Comcast
245,ORG,Xfinity
245,ORG,Xfinity
245,ORG,Comcast
245,ORG,Comcast
245,LOC,US
246,ORG,Comcast
246,MISC,English
246,ORG,Comcast
247,PER,Sarah
248,ORG,Comcast
249,ORG,Comcast
250,ORG,Comcast
250,LOC,US
250,MISC,Performance
250,MISC,Blast
250,MISC,Xfinity
250,MISC,Play
250,ORG,Comcast
250,ORG,Comcast
250,MISC,Comcast Speed Test
250,LOC,US
250,ORG,Activation Group
250,LOC,Manila
251,ORG,AT&T
251,ORG,Dish
251,ORG,Comcast
253,ORG,Comcast
254,LOC,.
254,ORG,Comcast
254,LOC,.
254,LOC,.
254,ORG,Comcast
254,LOC,U
254,LOC,S
254,LOC,.
256,ORG,Comcast
256,ORG,Comcast
256,PER,Willet
257,ORG,Dish Network
258,PER,Adriana
258,PER,Eduardo
258,ORG,Comcast
258,ORG,GA Business Bureau
258,ORG,Facebook
258,ORG,Twitter
258,ORG,Instagram
258,ORG,Comcast
259,ORG,Comcast
260,ORG,Comcast
261,ORG,Comcast
261,ORG,Comcast
261,ORG,Comcast
262,ORG,Comcast
262,ORG,Comcast
262,ORG,Comcast
262,ORG,Comcast
263,ORG,Comcast
263,ORG,AT&T
263,MISC,DSL
263,ORG,Comcast
263,MISC,DSL
263,ORG,Comcast
264,ORG,Xfinity
265,LOC,India
265,ORG,Comcast
265,ORG,Xfinity
266,ORG,AT&T
266,ORG,Comcast
266,ORG,Comcast
266,MISC,Service Plan
266,ORG,XFINITY
266,ORG,Comcast XFINITY
267,ORG,Comcast
267,LOC,Philippines
267,ORG,Comcast
268,ORG,xfinity
269,ORG,Comcast
269,ORG,Comcast
269,ORG,Google Fiber
269,ORG,Xfinity
270,ORG,Customer Service
270,ORG,BBB
270,ORG,Comcast
271,ORG,Comcast
271,ORG,Frontier
272,ORG,Comcast
272,ORG,Comcast
273,ORG,Sears
273,ORG,Equifax
273,ORG,Comcast
274,ORG,Comcast
274,MISC,English
275,MISC,Internet
275,ORG,Netgear
275,MISC,Internet
275,MISC,Internet
275,MISC,Internet
275,MISC,Internet
275,MISC,Internet
275,MISC,Internet
275,ORG,UPS
275,MISC,Internet
276,ORG,Comcast
276,ORG,Comcast
276,MISC,WiFi
276,ORG,Comcast
276,MISC,WiFi
277,ORG,Comcast
277,ORG,Comcast
278,ORG,Comcast
279,ORG,Xfinity
279,ORG,xfinity
280,ORG,Comcast
281,ORG,GE
281,ORG,Xfinity
282,ORG,Comcast
282,ORG,DBA Xfinity
282,ORG,HOA
283,ORG,Xfinity
283,ORG,Comcast
285,LOC,Bellevue
285,LOC,WA
285,LOC,Mt Pleasant
285,LOC,TX
285,ORG,Comcast
285,ORG,Comcast Service Center
285,LOC,Factoria
285,LOC,WA
285,LOC,Texas
285,ORG,Comcast
285,LOC,Texas
285,ORG,Comcast
285,MISC,English
286,ORG,Internet Essentials
287,ORG,Xfinity/Comcast
287,ORG,Comcast
287,MISC,Xfinity
287,MISC,NASCAR
287,MISC,X1
287,MISC,Fios
287,MISC,Xbox
287,MISC,5s
287,MISC,Xbox
287,MISC,Xbox Live
287,ORG,Fios
288,ORG,Xfinity
288,LOC,Philadelphia
288,ORG,Comcast
288,ORG,Comcast
288,ORG,Comcast
289,ORG,COMCAST
289,ORG,Comcast
289,ORG,Comcast
289,ORG,Comcast
289,MISC,Motorola SurfBoard 6580
289,MISC,iPhones
289,MISC,iPads
289,MISC,DirecTV
289,ORG,Ebay
289,ORG,Amazon
289,PER,Laquetia
289,ORG,Comcast
290,ORG,Comcast Support
290,ORG,Comcast
290,MISC,net
290,MISC,iPhone
291,MISC,Internet
291,MISC,Phone
291,MISC,Internet
291,PER,Andrew
291,PER,Candice
291,PER,Danielle
291,ORG,Comcast
291,ORG,Comcast
292,ORG,Exchange
292,ORG,Comcast
293,ORG,Comcast/Xfinity
293,ORG,Comcast
293,ORG,Walmart
293,ORG,COMCAST
294,ORG,Comcast
294,ORG,Comcast
294,ORG,Comcast
294,ORG,COMCAST
295,ORG,Comcast
295,LOC,Manila
295,ORG,Comcast
295,ORG,Comcast
295,ORG,Comcast
295,ORG,Comcast
295,ORG,Ma Bell
295,ORG,Comcast
295,ORG,Comcast
295,LOC,America
296,ORG,Comcast TV
296,MISC,Internet
296,MISC,Internet
296,ORG,Comcast
296,ORG,Comcast
297,ORG,Comcast
297,ORG,x
297,MISC,finity
297,ORG,ComCast
297,ORG,ComCast
298,ORG,Comcast
299,ORG,Comcast
299,ORG,Comcast
299,ORG,Comcast
299,ORG,Comcast
299,ORG,Comcast
300,ORG,COMCAST
300,ORG,COMCAST
301,ORG,Comcast
301,ORG,Comcast
301,ORG,Comcast
301,ORG,FCC
302,ORG,Comcast/Xfinity
305,ORG,uverse
306,ORG,Home Security
307,ORG,Comcast
307,LOC,Kiawah Island
307,LOC,America
308,LOC,Fort Lewis
308,ORG,XFINITY
308,ORG,XFINITY
308,ORG,XFINITY
309,MISC,Denver-area
309,ORG,Comcast
309,MISC,Internet
309,PER,Amanda
309,PER,Michael
309,LOC,Denver
309,ORG,Comcast Business Class - West Division
309,PER,Michael
309,ORG,Comcast
309,PER,Michael
309,ORG,Comcast
309,PER,Michael
309,PER,Michael
309,PER,Janchessa
309,PER,Janchessa
309,PER,Michael
309,ORG,Comcast
309,LOC,Denver
310,ORG,COMCAST
310,ORG,Comcast
310,ORG,Customer Service
310,LOC,Philippines
310,PER,Al
310,ORG,Comcast
311,ORG,Comcast
311,ORG,Comcast
311,ORG,xfinity
311,ORG,xfinity
311,ORG,Comcast Alerts
311,ORG,SM
311,ORG,Comcast
311,ORG,U-verse
312,ORG,Comcast
312,LOC,Tucson
312,ORG,Comcast
312,LOC,Tucson
312,LOC,Arizona
312,ORG,Comcast
313,ORG,Comcast
313,ORG,AT&T
313,ORG,FOX +
313,ORG,COMCAST
313,ORG,COMCAST
314,ORG,Comcast/Xfinity
315,PER,Mickey mouse
316,ORG,Comcast
316,ORG,Comcast
316,ORG,AT&T U-Verse
316,ORG,Comcast
316,ORG,AT&T
317,ORG,Comcast
317,ORG,AT&T
317,ORG,AT&T
317,ORG,Comcast
317,ORG,Comcast
317,ORG,AT&T
317,ORG,Comcast
317,ORG,Comcast
317,ORG,AT&T
317,LOC,America
319,ORG,XFINITY
320,ORG,Comcast
320,ORG,Comcast
320,ORG,Comcast
320,ORG,Comcast
323,ORG,Comcast Xfinity
324,LOC,Philippines
324,ORG,Comcast
325,MISC,Wi-Fi
325,ORG,Verizon
325,ORG,XFINITY
325,ORG,Comcast
325,ORG,Verizon
325,ORG,Comcast
325,ORG,XFINITY
325,ORG,STARBUCKS
325,ORG,Comcast
325,ORG,Verizon
325,ORG,Comcast
326,MISC,EFT
326,ORG,Comcast
327,ORG,Comcast
327,MISC,Internet
327,MISC,HBO
327,MISC,HD Tech
327,ORG,Comcast
327,ORG,Comcast
327,ORG,Comcast
328,MISC,Latino TV
328,MISC,Latino TV
328,MISC,English
328,ORG,Nickelodeon
328,ORG,Disney
328,MISC,annels
